player,comp,round,date,venue,opp,pos,min,type,assisted,time_class,assist,solo,year,month,day,dayofweek,dayofyear,weekofyear,quarter,goal
messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,,50,Right-footed shot,Cesc Fàbregas,secound_half,Cesc Fàbregas,assisted,2012,3,7,3,67,10,1,1
messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,,58,Left-footed shot,,secound_half,0,solo,2012,3,7,3,67,10,1,1
messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,,85,Left-footed shot,Seydou Keita,secound_half,Seydou Keita,assisted,2012,3,7,3,67,10,1,1
messi,LaLiga,27,2012-03-11,A,Racing  ,CF,28,Left-footed shot,Cesc Fàbregas,first_half,Cesc Fàbregas,assisted,2012,3,11,7,71,10,1,1
messi,LaLiga,27,2012-03-11,A,Racing  ,,55,Penalty,,secound_half,0,solo,2012,3,11,7,71,10,1,1
messi,LaLiga,28,2012-03-17,A,Sevilla FC  ,CF,25,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2012,3,17,6,77,11,1,1
messi,LaLiga,29,2012-03-20,H,Granada CF  ,CF,16,Left-footed shot,Isaac Cuenca,first_half,Isaac Cuenca,assisted,2012,3,20,2,80,12,1,1
messi,LaLiga,29,2012-03-20,H,Granada CF  ,,66,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2012,3,20,2,80,12,1,1
messi,LaLiga,29,2012-03-20,H,Granada CF  ,,85,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2012,3,20,2,80,12,1,1
messi,LaLiga,30,2012-03-24,A,RCD Mallorca  ,CF,25,Direct free kick,,first_half,0,solo,2012,3,24,6,84,12,1,1
messi,LaLiga,31,2012-03-31,H,Athletic  ,CF,57,Penalty,,secound_half,0,solo,2012,3,31,6,91,13,1,1
messi,Champions League,Quarter-Finals,2012-04-03,H,AC Milan,RW,11,Penalty,,first_half,0,solo,2012,4,3,2,94,14,2,1
messi,Champions League,Quarter-Finals,2012-04-03,H,AC Milan,,42,Penalty,,first_half,0,solo,2012,4,3,2,94,14,2,1
messi,LaLiga,32,2012-04-07,A,Real Zaragoza  ,CF,39,Left-footed shot,Alexis Sánchez,first_half,Alexis Sánchez,assisted,2012,4,7,6,98,14,2,1
messi,LaLiga,32,2012-04-07,A,Real Zaragoza  ,,86,Penalty,,secound_half,0,solo,2012,4,7,6,98,14,2,1
messi,LaLiga,33,2012-04-10,H,Getafe  ,CF,44,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2012,4,10,2,101,15,2,1
